DATAFLOW,LAST UPDATE,freq,sex,age,unit,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FR,2015,44.8,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FR,2016,44.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FR,2017,44.5,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FR,2018,47.0,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FR,2019,48.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FR,2020,49.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,FR,2021,50.3,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HR,2011,24.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HR,2012,23.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HR,2013,27.3,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HR,2014,31.9,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HR,2015,30.8,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HR,2016,32.8,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HR,2017,32.7,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HR,2018,35.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HR,2019,35.5,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HR,2020,36.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HR,2021,35.7,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HU,2011,28.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HU,2012,30.5,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HU,2013,31.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HU,2014,32.1,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HU,2015,32.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HU,2016,30.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HU,2017,30.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HU,2018,30.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HU,2019,30.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HU,2020,30.7,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,HU,2021,32.9,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IE,2011,48.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IE,2012,50.3,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IE,2013,52.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IE,2014,53.4,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IE,2015,54.0,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IE,2016,54.3,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IE,2017,54.7,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IE,2018,56.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IE,2019,55.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IE,2020,58.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IE,2021,61.7,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IS,2011,39.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IS,2012,38.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IS,2013,40.0,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IS,2014,40.8,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IS,2015,40.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IS,2016,43.4,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IS,2017,47.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IS,2018,47.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IS,2019,47.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IS,2020,41.7,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IS,2021,41.5,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IT,2011,21.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IT,2012,22.5,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IT,2013,22.9,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IT,2014,24.2,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IT,2015,25.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IT,2016,25.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IT,2017,26.9,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IT,2018,27.7,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IT,2019,27.7,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IT,2020,28.9,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,IT,2021,28.3,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LT,2011,48.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LT,2012,48.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LT,2013,50.5,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LT,2014,52.6,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LT,2015,54.8,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LT,2016,54.9,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LT,2017,55.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LT,2018,55.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LT,2019,55.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LT,2020,56.2,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LT,2021,57.5,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LU,2011,46.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LU,2012,49.9,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LU,2013,48.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LU,2014,52.9,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LU,2015,50.3,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LU,2016,51.5,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LU,2017,51.3,u
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LU,2018,53.7,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LU,2019,56.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LU,2020,60.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LU,2021,62.6,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LV,2011,35.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LV,2012,38.7,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LV,2013,40.7,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LV,2014,39.4,b
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LV,2015,39.9,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LV,2016,42.1,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LV,2017,41.6,
ESTAT:SDG_04_20(1.0),14/09/23 23:00:00,A,T,Y25-34,PC,ED5-8,LV,2018,41.6,
